labels,Area,Perim.,Circ.,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_1_well_2_100X_1_blob_17,485.0507,81.8397,0.9101,0.9337,0.9576,si,1,25.51415,2.691378837690813
Esferas_BT474_dia_1_well_2_100X_1_blob_18,537.2017,86.4786,0.9027,0.9926,0.9588,si,1,26.7989,3.118763366562267
Esferas_BT474_dia_1_well_2_100X_1_blob_19,658.5797,95.9212,0.8995,0.9615,0.9622,si,1,29.79055,4.284173828874134
Esferas_BT474_dia_1_well_2_100X_1_blob_20,475.3589,81.8397,0.8919,0.9291,0.9519,si,1,25.37835,2.648632279299652
Esferas_BT474_dia_1_well_2_100X_1_blob_21,604.1211,91.5154,0.9065,0.9359,0.9614,si,1,28.5017,3.751835716260872
Esferas_BT474_dia_1_well_2_100X_1_blob_22,590.7372,89.7588,0.9214,0.9239,0.9649,si,1,28.0049,3.55904597813036
Esferas_BT474_dia_1_well_2_100X_1_blob_23,562.5849,87.2745,0.9282,0.9784,0.9686,si,1,27.30995,3.3006101807694463
Esferas_BT474_dia_1_well_2_100X_1_blob_25,657.6567,100.3269,0.8211,0.8625,0.936,si,1,29.9936,4.372374027836301
Esferas_BT474_dia_1_well_2_100X_1_blob_26,778.1117,106.4893,0.8623,0.8656,0.9571,si,1,32.05305,5.336292207404262
Esferas_BT474_dia_1_well_2_100X_1_blob_27,1755.1357,189.6877,0.613,0.4957,0.89,si,1,52.5108,23.462669563011183
Esferas_BT474_dia_1_well_2_100X_1_blob_29,493.3579,87.4393,0.8109,0.9341,0.9271,si,1,26.8205,3.126310646481878
Esferas_BT474_dia_1_well_2_100X_3_blob_1,471.2053,80.87899999999998,0.9052,0.9509,0.956,si,1,25.0598,2.55014175151692
Esferas_BT474_dia_1_well_2_100X_3_blob_3,512.28,84.324,0.9053,0.8259,0.9602,si,1,26.104,2.8823897332164394
Esferas_BT474_dia_1_well_2_100X_3_blob_4,432.8996,77.8319,0.898,0.9308,0.9513,si,1,23.97755,2.2338084823776003
Esferas_BT474_dia_1_well_2_100X_3_blob_5,315.2137,66.7975,0.8878,0.8913,0.9466,si,1,20.9564,1.491356796983188
Esferas_BT474_dia_1_well_2_100X_3_blob_6,499.3576,83.5963,0.8979,0.9162,0.9605,si,1,25.36045,2.643031786855176
Esferas_BT474_dia_1_well_2_100X_3_blob_7,592.5833,91.0209,0.8988,0.8381,0.9636,si,1,27.56395,3.3935627196631115
Esferas_BT474_dia_1_well_2_100X_3_blob_8,525.2023,87.2745,0.8665,0.9455,0.9456,si,1,27.08145,3.218453664108869
Esferas_BT474_dia_1_well_2_100X_3_blob_9,372.9029,87.2062,0.6162,0.767,0.8726,si,1,24.37945,2.348027780973318
Esferas_BT474_dia_1_well_2_100X_3_blob_11,374.7489,71.9992,0.9084,0.9208,0.9564,si,1,22.3942,1.8198608297061327
Esferas_BT474_dia_1_well_2_100X_3_blob_12,1093.7869,131.2755,0.7976,0.6873,0.9535,si,1,39.70525,10.143207838102876
Esferas_BT474_dia_1_well_2_100X_3_blob_13,331.8282,66.3995,0.9458,0.9462,0.9619,si,1,20.82575,1.4636373104976204
Esferas_BT474_dia_1_well_2_100X_3_blob_14,915.1812,116.0002,0.8547,0.8194,0.961,si,1,35.0362,6.969193297129976
